func_group,chain,smiles,head_smiles,tail_smiles,carbon_len,ethoxy_len,aromatic_rings,counter_ion,CMC,MW,NVE,logP,chi0,bertzct,chi1,peoe_vsa6,labute_asa,molmr,wiener_index,zagreb_index1,zagreb_index2,walk_count,total_ic
CO2Na,C7,CCCCCCCC(=O)[O-],CC(=O)[O-],CCCCCC,7,0,0,Na+,390.0,143.10775329991,60,1.0968,7.819990956308912,89.25838096618138,4.770055610029662,32.60702369139466,62.24960168084558,38.383,158,36.0,34.0,9.0,31.49304581024034
CO2Na,C8,CCCCCCCCC(=O)[O-],CC(=O)[O-],CCCCCCC,8,0,0,Na+,210.0,157.12340336391,66,1.4868999999999999,8.52709773749546,99.73585546369786,5.270055610029662,39.02784531432067,68.6145437952422,43.000000000000014,212,40.0,38.0,10.0,34.58974450337633
CO2Na,C9,CCCCCCCCCC(=O)[O-],CC(=O)[O-],CCCCCCCC,9,0,0,Na+,100.0,171.13905342791,72,1.8769999999999998,9.234204518682008,110.40620687739317,5.770055610029663,45.448666937246685,74.97948590963883,47.617000000000026,277,44.0,42.0,11.0,37.650181917691384
CO2Na,C10,CCCCCCCCCCC(=O)[O-],CC(=O)[O-],CCCCCCCCC,10,0,0,Na+,50.0,185.15470349191,78,2.2671,9.941311299868556,121.2586863990795,6.270055610029663,51.8694885601727,81.34442802403544,52.23400000000004,354,48.0,46.0,12.0,40.6813229191473
CO2Na,C11,CCCCCCCCCCCC(=O)[O-],CC(=O)[O-],CCCCCCCCCC,11,0,0,Na+,24.0,199.17035355591,84,2.6572000000000005,10.648418081055103,132.28341890015258,6.770055610029663,58.29031018309871,87.70937013843205,56.85100000000005,444,52.0,50.0,13.0,43.688299530305976
CO2Na,C12,CCCCCCCCCCCCC(=O)[O-],CC(=O)[O-],CCCCCCCCCCC,12,0,0,Na+,12.0,213.18600361991,90,3.047300000000001,11.355524862241651,143.47137920080513,7.270055610029663,64.71113180602472,94.07431225282866,61.46800000000005,548,56.0,54.0,14.0,46.67500271529218
CO2Na,C13,CCCCCCCCCCCCCC(=O)[O-],CC(=O)[O-],CCCCCCCCCCCC,13,0,0,Na+,7.0,227.20165368391,96,3.437400000000002,12.0626316434282,154.8143311431168,7.770055610029663,71.13195342895074,100.43925436722527,66.08500000000005,667,60.0,58.0,15.0,49.644452984970094
CO2Na,C15,CCCCCCCCCCCCCCCC(=O)[O-],CC(=O)[O-],CCCCCCCCCCCCCC,15,0,0,Na+,2.0,255.23295381191002,108,4.217600000000003,13.476845205801295,177.93577382145608,8.770055610029663,83.97359667480276,113.1691385960185,75.31900000000006,954,68.0,66.0,17.0,55.54069673965207
CO2Na,C17,CCCCCCCCCCCCCCCCCC(=O)[O-],CC(=O)[O-],CCCCCCCCCCCCCCCC,17,0,0,Na+,0.5,283.26425393991,120,4.997800000000004,14.891058768174391,201.59490309182667,9.770055610029663,96.81523992065479,125.89902282481172,84.55300000000007,1313,76.0,74.0,19.0,61.391228624820826
NH3Cl,C10,CCCCCCCCCC[NH3+],C[NH3+],CCCCCCCCC,10,0,0,Cl-,54.0,158.19032618808998,68,2.3689999999999998,8.36396103067893,53.89311688209828,5.414213562373096,45.448666937246685,71.36362075441176,50.36510000000002,220,38.0,36.0,10.0,36.266524626892455
